key,customer,order,amount,date,type,created_at,modified_at,payments mth/yr,modified_by,deleted
6a70d08a,customer/VyeDxEVMImsVPJTKpQcW,order/GhC1kU6bPLN8r7xdcZBF,"GHC 8,460",25/08/2022,Cheque,3/25/2024 10:27 AM,3/25/2024 10:27 AM,25/08/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
21f9c857,customer/gGn5sDEP72NgJOcCsT6T,order/4hIzY2pNjzLjeiIkq9Sc,,7/2/2022,momo,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
b7504c94,customer/fgxxee1iC5YYuFQ2ofVw,order/HIqMz14X4cGDYbq7KjhO,"GHC 7,500",26/01/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,26/01/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
e8a2a306,customer/jy0gtAQ2joe8pYCFz8bv,order/E7v4Ks3SNmX6LpjFqBj6,"GHC 6,400",27/12/2023,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,27/12/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
1d0dce00,customer/yACmkNzUM1kedhyIfNAT,order/77eiTLXqvSz2FyQ4fv1Q,"GHC 6,010",29/05/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,29/05/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
a89ea8f0,customer/IMa69ZE9QskQiqNjrgfE,order/74KLK6lliG7DNvE1sy2A,,5/2/2022,momo,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
b1e71296,customer/VvyurlNQ7lwd5fjwdi3i,order/EPTdlF0G981iq3MTaua4,"GHC 6,000",21/02/2024,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,21/02/2024,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
9f1ad2d0,customer/fgxxee1iC5YYuFQ2ofVw,order/Bd1tqvdJ9twbBLKVsGNT,"GHC 5,000",18/10/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,18/10/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
526b96fc,customer/6QTjQjOy8Ncai7otXRpN,order/8AMxhuUQ6aR7UHCycjGN,"GHC 4,800",29/12/2023,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,29/12/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
63832657,customer/i6sA3WZLO4Zz3ZNrujwY,order/socuIcnXS4Er7Ev7PNpP,"GHC 4,800",29/12/2023,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,29/12/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
bdc40e76,customer/4DvR8hP9hZMXaTWlSpuz,order/cUvH9OSdiAVURZxySaIn,"GHC 4,750",07/01/23,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Jul, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
15d7d081,customer/YIt4N5dwE3BMkfxr2by7,order/529BfXWFkTjW0QpL3Ncb,"GHC 4,500",26/04/2023,Cheque,3/25/2024 10:27 AM,3/25/2024 10:27 AM,26/04/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
a65e1aa2,customer/INOxRlMT4byZ266nFaeQ,order/oML0Z7oWMp5tOR722egS,"GHC 4,275",31/03/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,31/03/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
9bea6629,customer/Zpu69Xj4vH43t8q8U6q3,order/rMeATizAlOFhmFbR1GFr,"GHC 4,100",01/02/23,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Jan, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
7e7b3e2e,customer/HGBBwB0wXgY6lekLS4dO,order/dw9v1qcLyfP1ex0YtE4i,"GHC 4,000",17/01/2024,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,17/01/2024,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
26d7fcf5,customer/5e1AhzQfEupLspJhMgAh,order/MIoCHdIdngfkoGJ3u7gy,"GHC 3,800",07/02/24,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Jul, 2024",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
3fdb32b6,customer/EBXiuvCfl6yZsNUUnetu,#N/A,2000,22/02/2022,cash,3/25/2024 10:27,3/25/2024 10:27,,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
d8b4d858,customer/NIOkUFvE96xFZF09tWRf,order/3iCrRCmCX9re6cxEGyzq,"GHC 3,800",23/02/2024,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,23/02/2024,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
0a8a3ea6,customer/wxrVOYrK9L3qGglOZNOx,order/eOjkNwsILEoDDAk9uODG,"GHC 3,750",14/03/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,14/03/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
23501eb6,customer/NIGV74naFcCkK225bBwZ,order/2ISpGPWq6nsKmgwxFT7K,"GHC 3,750",04/04/23,Cheque,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Apr, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
54b42e14,customer/VVpJL7EO2XtS4UZMp4QL,order/MgyQfqnjg8hMC5lLvsiT,"GHC 3,600",02/06/23,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Feb, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
72ed5842,customer/5spI83bpcalDMed44sWu,order/azL2mOZJiYzNeMnOWIyx,"GHC 3,600",24/11/2023,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,24/11/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
21c3c517,customer/6DYIkhCtgjPS5PnGtVhb,order/Asg3K3DgZjVnGoS0WkOi,"GHC 3,500",12/08/22,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Dec, 2022",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
78a3521c,customer/PNTx6ipzahXAKgW5GBjD,order/zk0p4hHGP8KFUEJItcrj,"GHC 3,500",28/02/2023,momo,3/25/2024 10:27 AM,3/25/2024 10:27 AM,28/02/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
af5cfb40,customer/W7qDAtYq0QzGlMO2It7U,order/2PIcJ9pr558GDrGIrjna,"GHC 3,000",18/11/2022,pos,3/25/2024 10:27 AM,3/25/2024 10:27 AM,18/11/2022,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
e7583204,customer/q4a4ZF8oT63lnfRbegkH,order/rxwlECOC7A5xI1goqn20,"GHC 3,000",18/04/2023,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,18/04/2023,users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
9bb1d56c,customer/yPrnLDNjOXWNCSfY0zgl,order/QUmqh0LPR5F5X0inFERi,"GHC 3,000",12/09/23,cash,3/25/2024 10:27 AM,3/25/2024 10:27 AM,"Dec, 2023",users/u01SHPcAyOZTsGhIJ7A466WC60r1,FALSE
